platform,post_id,comment,topic,neg_sentiment (%),pos_sentiment (%),neu_sentiment (%),actionable_insight,date
instagram,DM7mNNgst6_,Hij blijft een verrader,Narsingh Wijnaldum (disloyalty),26.08,12.92,61.0,Highlight Wijnaldum’s contributions to foster fan loyalty.,
instagram,DM7mNNgst6_,Altijd in de basis zetten. Zie je wel weer 🔥,Moussa Dembele (starting role),7.97,70.82,21.21,Prioritize Dembele’s playing time to increase fan satisfaction.,
instagram,DM7qQhzMT7I,❤️,(No specific topic),7.85,65.19,26.96,Maintain consistent positive sentiment across all channels.,
instagram,DM7qQhzMT7I,in my days there were two or four and games were played with just one ball. The whole stadium had their eyes on you if and when... ;-) Mijn eerste wedstrijd was Willy's eerste wedstrijd. #SkieteWilly,Willy Samuel (nostalgia),7.59,53.74,38.67,Curate content celebrating the history of iconic players like Willy Samuel.,
instagram,DM7qQhzMT7I,,(No specific topic),22.12,10.48,67.4,Continue monitoring social media for emerging trends.,
instagram,DM7qQhzMT7I,💪🇲🇦❤️,Atupey (support),8.37,79.85,11.78,Publicly acknowledge and appreciate Atupey’s support.,
instagram,DM7qQhzMT7I,❤️🤍,(No specific topic),8.11,73.72,18.17,Reinforce the club’s colors in visual communication.,
instagram,DM7qQhzMT7I,Benieuwd wie van deze gasten over een jaar of 10 op het veld staat!,Bright Nkoudou (future prospects),7.72,61.97,30.3,Develop scouting reports on Nkoudou’s long-term potential.,
instagram,DM7qQhzMT7I,We staan er weer goed op @mika_netten,Mika Nütten (positive engagement),7.75,63.6,28.65,Engage with Nütten’s supporters to strengthen the fan base.,
instagram,DM7qQhzMT7I,@abutalipaksoy,Abutalipaksoy (positive engagement),7.63,55.4,36.97,Acknowledge and respond to Abutalipaksoy’s comments.,
instagram,DM6MVEuoIdF,🙌🙌🙌,(No specific topic),8.45,81.04,10.51,Maintain a celebratory tone across social media.,
instagram,DM6MVEuoIdF,🔥🔥🔥🔴⚪💡,Ibrahim Sangaré (enthusiasm),8.02,71.93,20.05,Create content showcasing Sangaré’s impact and excitement.,
instagram,DM6MVEuoIdF,Pfff kenker lemps💡,Joey Veerman (tactics),19.22,20.79,59.99,Analyze Veerman’s tactical performance for fan understanding.,
instagram,DM6MVEuoIdF,🔥👏❤️,Xavi Simons (enthusiasm),8.45,83.09,8.45,Produce content celebrating Simons’ talent and enthusiasm.,
instagram,DM6MVEuoIdF,🏆,Trophy (achievement),7.57,53.19,39.24,Celebrate the team’s achievements with trophy-focused content.,
instagram,DM6MVEuoIdF,"Supercup bestaat sinds de jaren 90. Dat PSV er veruit de meeste van gewonnen heeft, zegt wel veel over de verhoudingen in het moderne voetbaltijdperk.",(No specific topic),7.86,29.71,62.43,Share historical data illustrating PSV’s trophy dominance.,
instagram,DM6MVEuoIdF,💡💡❤️🤍🏆🏆😍😍,Xavi Simons (enthusiasm),8.44,83.12,8.44,Generate content amplifying Simons’ popularity.,
instagram,DM7Evy6S2aU,,(No specific topic),22.12,10.48,67.4,Maintain a neutral tone in social media responses.,
instagram,DM7Evy6S2aU,Lekker prijsjes verzamelen,Memphis Depay (prize collection),8.15,17.68,74.18,Showcase Depay’s goal-scoring record to fans.,
instagram,DM7Evy6S2aU,👏👏,(No specific topic),8.09,73.06,18.85,Continue to foster positive fan engagement.,
instagram,DM7Evy6S2aU,🙌❤️🔥,Fan enthusiasm,8.41,83.18,8.41,→ Schedule fan events to amplify positive sentiment.,
instagram,DM7Evy6S2aU,"Kampioenuhh olé olé 
⚽🥅🏟️👚🏆🔴⚪ #psv",“Kampioenuhh” chant,10.53,26.63,62.83,→ Create chants and visuals celebrating “Kampioenuhh”.,
instagram,DM7Evy6S2aU,👏👏👏🔥,Fan enthusiasm,8.44,83.12,8.44,→ Prioritize fan engagement through interactive content.,
instagram,DM7Evy6S2aU,Maurooo❤️🙌,Mauro support,8.52,82.67,8.81,→ Highlight Mauro’s contributions in marketing materials.,
instagram,DM7Evy6S2aU,❤️,Fan enthusiasm,8.47,83.07,8.47,→ Boost overall fan excitement with engaging posts.,
instagram,DM7Bm33so7t,🔥🔥🔥🔥🔥🔥,Fan enthusiasm,8.48,83.05,8.48,→ Organize open training sessions for fan interaction.,
instagram,DM7Bm33so7t,🙏❤️🤍👊🏽💪,Fan request – open training,8.21,76.81,14.98,→ Analyze Dest’s technique and develop training drills.,
instagram,DM7Bm33so7t,"Hoe Dest die bal in eerste instantie al vol in de loop meeneemt met buitenkant voet, dat maakt het verschil. Van die klasse hebben we er nog twee extra nodig. Die flank en middenveld kunnen spelen.",Dest – tactical adjustment,11.01,18.57,70.42,→ Promote Dest’s strong performance across channels.,
instagram,DM7Bm33so7t,Good to see Dest in form 💪👊,Dest – form appreciation,8.44,83.11,8.44,→ Intensify fan interest in Dest’s development.,
instagram,DM7Bm33so7t,Dest 🔥🔥🔥,Dest – fan enthusiasm,8.35,79.5,12.15,→ Generate further enthusiasm around Dest.,
instagram,DM7Bm33so7t,👏👏👏🔥,Fan enthusiasm,8.44,83.12,8.44,→ Increase fan support for Dest through targeted campaigns.,
instagram,DM7Bm33so7t,👏👏👏,Fan enthusiasm,8.45,83.09,8.45,→ Generate greater fan excitement through celebratory posts.,
instagram,DM7Bm33so7t,Haal Ihattaren terug,Ihattaren – return request,8.42,13.3,78.27,→ Amplify fan support for Dest through fan-made content.,
instagram,DM7Bm33so7t,Dest was niet goed gisteren. Wel mooie goal maar voor de rest was ie minder .,Dest – tactical adjustment,13.51,16.05,70.44,→ Design merchandise incorporating the PSV colors.,
instagram,DND-4nTsBnp,Saudades do Jonathan Reis,Jonathan Reis – nostalgia,7.57,44.57,47.87,→ Encourage fans to share their dual club support.,
instagram,DND-4nTsBnp,En alleen Depay heeft het gehaald!,Depay – performance critique,11.94,14.43,73.63,→ Increase fan enthusiasm with more frequent updates.,
instagram,DND-4nTsBnp,👏👏👏👏👏,Fan enthusiasm,8.45,83.1,8.45,→ Highlight Dest’s positive moments in key messages.,
instagram,DND-4nTsBnp,❤️🤍🤝🏽💙❤️ mijn twee clubs 😍😍 ook al wonnen PSV van Barca in hun eigen jeugd toernooi,Dual club support,8.42,83.16,8.42,→ Create content that captures the nostalgia around Reis.,
instagram,DND-4nTsBnp,❤️🤍❤️,Fan enthusiasm,8.43,83.15,8.43,→ Analyze Depay’s performance and develop training strategies.,
instagram,DND-4nTsBnp,🔥🔥,Fan enthusiasm,8.47,83.06,8.47,→  Generate more content showcasing Dest’s skills.,
instagram,DND-4nTsBnp,😮😮😮🔥👏,Fan enthusiasm,8.44,83.12,8.44,→ Recommendation: Amplify positive fan reactions to increase team morale.,
instagram,DND-4nTsBnp,Memphis Deepaaij,Memphis Depay mention,8.36,13.22,78.42,→ Recommendation: Investigate Scofieldd's fitness levels and adjust training accordingly.,
instagram,DM6Dvv6MUwJ,🙌,Fan support,8.53,82.94,8.53,→ Recommendation: Develop content celebrating PSV's success and dominance.,
instagram,DM6Dvv6MUwJ,Dat is 1! 👏,Fan support,8.5,83.01,8.5,→ Recommendation: Recognize and appreciate player contributions through targeted campaigns.,
instagram,DM6Dvv6MUwJ,❤️🙌,Fan support,8.47,83.05,8.47,→ Recommendation: Encourage fan engagement through interactive contests and polls.,
instagram,DM6Dvv6MUwJ,mantap,Player fitness,8.22,17.91,73.87,→ Recommendation: Evaluate player stamina and incorporate drills to improve endurance.,
instagram,DM6Dvv6MUwJ,Toppers 😍😍🔥,Fan enthusiasm,8.44,83.11,8.44,→ Recommendation: Create a visual campaign showcasing fan support and excitement.,
instagram,DM6Dvv6MUwJ,Proficiat,Player appreciation,7.73,58.98,33.29,→ Recommendation: Implement a system for acknowledging player achievements publicly.,
instagram,DM6Dvv6MUwJ,🔥🔥🔥👏,Fan enthusiasm,8.44,83.13,8.44,→ Recommendation: Capitalize on fan enthusiasm with merchandise and experiences.,
instagram,DNFg8kwMV0k,Niet alleen morgen. ALTIJD!,Player request,8.17,18.07,73.76,→ Recommendation: Facilitate connections between talented young players and the club.,
instagram,DNFg8kwMV0k,@mirkolaumen @britt_lmn @ton.theunissen.75 @marly_laumen 💪,Player support request,7.59,44.29,48.12,→ Recommendation: Coordinate a coordinated support campaign for player requests.,
instagram,DNFg8kwMV0k,🔥🔥,Fan enthusiasm,8.47,83.06,8.47,→ Recommendation: Highlight player performance in promotional materials.,
instagram,DNFg8kwMV0k,Mauro JR ready to cook!⭐️🇧🇷1️⃣7️⃣🔛🔝,Player performance (Mauro JR),7.53,45.88,46.59,→ Recommendation: Establish a formal channel for player acknowledgements and thanks.,
instagram,DNFg8kwMV0k,🫡 okidoki ❤️,Player acknowledgment,7.98,71.13,20.89,→ Recommendation: Establish a player funding program for aspiring talent.,
instagram,DNFg8kwMV0k,"Hello, I'm Alireza. I'm 17 years old and I'm a good midfielder, but I don't have good financial conditions. Please support me so I can become a footballer.",Player funding request,15.33,34.16,50.51,→ Recommendation: Ignore irrelevant comments to maintain a focused online environment.,
instagram,DNFg8kwMV0k,,Irrelevant comment,72.29,8.11,19.6,→ Recommendation: Monitor and respond to rival fan activity to mitigate negative influence.,
instagram,DNFg8kwMV0k,⚫️⚫️,Rival fan activity,8.94,11.69,79.38,→ Recommendation: Reinforce fan enthusiasm with interactive social media challenges.,
instagram,DNDuqASsKRJ,🔥🙌,Fan enthusiasm,8.43,83.14,8.43,→ Recommendation: Acknowledge Denzel Dumfries’ performance through video highlights.,
instagram,DNDuqASsKRJ,👏👏❤️,Fan enthusiasm,8.42,83.15,8.42,UNKNOWN,
instagram,DNDuqASsKRJ,So proud of you Denzel🔥🔥🔥what a player😢😢🙌🙌🙌❤️,Player performance (Denzel Dumfries),8.4,83.2,8.4,UNKNOWN,
instagram,DNDuqASsKRJ,unnecessary glaze😕,Schouten’s haircut,76.57,8.23,15.2,→  Highlight Kane’s dedication in upcoming content.,
instagram,DNDuqASsKRJ,Χασάν λένε τον μπαμπά του,Hassen’s father,12.97,11.51,75.52,→  Investigate fan concerns regarding the new season card policy.,
instagram,DNDuqASsKRJ,DDF🔥🔥🔥,Dujo’s celebration,8.53,82.95,8.53,→  Encourage fan discussion about Schouten's potential.,
instagram,DNDuqASsKRJ,DD🔥,Dujo’s celebration,8.53,82.94,8.53,→  Analyze and respond to fan sentiment regarding Scofieldd’s performance.,
instagram,DNDuqASsKRJ,🔥🔥,Fan enthusiasm,8.47,83.06,8.47,→  Promote fan excitement through engaging visuals.,
instagram,DNDuqASsKRJ,Che giocatore ❤️,Loc’s appreciation,8.48,81.64,9.88,→  Verify key player desires through polls and surveys.,
instagram,DNDG0BlsamC,👍👍,Positive support,8.52,82.96,8.52,→  Address fan anxieties about championship prospects.,
instagram,DNDG0BlsamC,🔥🔥🔥🙌,Fan enthusiasm,8.43,83.15,8.43,→  Generate content celebrating the collective fan wish for Sparta victory.,
instagram,DNDG0BlsamC,,Irrelevant comment,72.29,8.11,19.6,→  Conduct a fan survey regarding season card preferences.,
instagram,DNDG0BlsamC,👍🏽,Positive support,8.52,82.95,8.52,→  Explore fan interest in Schouten’s development.,
instagram,DNDG0BlsamC,👍🏼,Positive support,8.5,82.99,8.5,→  Acknowledge and validate fan excitement.,
instagram,DNDG0BlsamC,9 Aug weer kampioen?,Championship ambition,8.29,14.68,77.03,→  Confirm player engagement metrics.,
instagram,DNDG0BlsamC,Op naar #27 samen.  Come on psv en sparta verslaan ❤️🤍❤️,Sparta victory wish,8.48,83.04,8.48,→  Quantify fan expectations for championship success.,
instagram,DNDG0BlsamC,Verschrikkelijk die nieuwe seizoenskaart regeling. Wat was er mis met de fysieke seizoenskaart? 😖,Season card grievance,63.97,7.79,28.24,→  Feature Kane’s personal journey and aspirations.,
instagram,DNCz_8sMHf2,Zou leuk zijn😍😍😍,Schouten desire,8.27,77.59,14.13,UNKNOWN,
instagram,DNCz_8sMHf2,@loisphilippus_ omggg van schouten😍 ik wil die zo graag! eén van me lievelings spelers❤️,Schouten preference,8.45,83.11,8.45,UNKNOWN,
instagram,DNCz_8sMHf2,😮😮😮🔥👏,Fan excitement,8.41,83.17,8.41,UNKNOWN,
instagram,DNCz_8sMHf2,✅,Confirmation,7.83,66.06,26.11,UNKNOWN,
instagram,DNCz_8sMHf2,Wat is eigenlijk de kans dat je dit wint? Heb volgens mij de afgelopen 5 jaar iedere keer meegedaan maar nog niet echt geluk gehad,Championship probability,10.26,17.05,72.69,UNKNOWN,
instagram,DNDtuEUMBVT,Mooi te zien dat hij zijn droom achterna kan gaan! Geniet van deze uitdaging Kane!,Kane’s ambition,7.85,65.86,26.29,UNKNOWN,
instagram,DNDtuEUMBVT,Wow!! @maikelkane @katjaaerts wat zullen jullie trots zijn! Gefeliciteerd Kane! 🔥,Kane congratulations,8.43,83.14,8.43,→ Schedule a social media post celebrating Kane’s achievement and positive sentiment.,
instagram,DNDtuEUMBVT,Mooi werk...,Kane support,7.96,24.31,67.72,→ Create content highlighting Kane’s contributions and celebrating his success.,
instagram,DNDtuEUMBVT,Congrats Kane!,Kane congratulations,8.42,83.16,8.42,"→ Post a message of congratulations to Kane, acknowledging his achievement.",
instagram,DNDtuEUMBVT,🔥🔥,General support,8.49,82.07,9.44,→ Boost fan engagement with positive feedback and appreciation.,
instagram,DNDtuEUMBVT,Intelligency to south Africa and indonesia,Incorrect location mention,30.05,8.91,61.04,→ Correct inaccurate location mentions in online discussions.,
instagram,DNDtuEUMBVT,Gefeliciteerd!! Super knap 🤩,Kane congratulations,8.41,83.19,8.41,→ Promote positive fan reactions and acknowledge Kane’s value.,
instagram,DNDtuEUMBVT,Trots b,Kane support,8.66,17.21,74.13,→ Organize a campaign to reinforce fan enthusiasm and pride.,
instagram,DNDtuEUMBVT,Toppertjeeeeee 🔥❤️,Kane support,8.26,77.88,13.86,→ Increase fan participation through interactive content.,
instagram,DNDtuEUMBVT,🙌🙌🙌,General support,8.46,83.09,8.46,→ Reinforce PSV’s club colors through visual content.,
instagram,DNBiq5-sM44,❤️🤍,Club colors,8.52,82.97,8.52,→ Investigate and address specific recruitment needs with defenders.,
instagram,DNBiq5-sM44,Announce Man,Demands for signings,8.03,22.64,69.33,→ Amplify positive fan reactions and build excitement.,
instagram,DNBiq5-sM44,announce man,Demands for signings,9.15,23.05,67.8,→ Continue to encourage fan support and enthusiasm.,
instagram,DNBiq5-sM44,Dat ze maar verdedigers aantrekken. Vooral centraal maar steward ziet dat niet in 😂😂😂,Defensive recruitment,14.31,22.2,63.48,→ Analyze fan requests for signings and incorporate into planning.,
instagram,DNBiq5-sM44,😮😮😮👏,General support,8.54,82.88,8.58,→ Strengthen defensive recruitment strategies based on feedback.,
instagram,DNBiq5-sM44,❤️❤️,General support,8.55,82.9,8.55,→ Encourage further fan support for the team’s success.,
instagram,DNBZnekMHNM,Ahhh zo schattig kindje,Child admiration,8.32,77.47,14.21,→ Highlight Earnest’s fitness development and performance.,
instagram,DNBZnekMHNM,❤️🤍❤️,Club colors,8.47,83.06,8.47,→ Promote positive reactions and team spirit across channels.,
instagram,DNBZnekMHNM,Let earnest cook🔥🔥,Fitness adjustment (Let Earnest),7.57,48.92,43.51,→ Recognize Kane's leadership role and dedication.,
instagram,DNBZnekMHNM,🔥🔥🔥🙌,General support,8.46,83.09,8.46,UNKNOWN,
instagram,DNBZnekMHNM,Captain! 💪🏼❤️🤍,Captain support,8.45,83.11,8.45,UNKNOWN,
instagram,DNBZnekMHNM,🙌🔥,Fan enthusiasm,8.43,83.13,8.43,Implement fan-requested autograph sessions.,
instagram,DNBZnekMHNM,❤️🤍❤️🤍,Fan support,8.5,82.99,8.5,Increase social media content highlighting fan support.,
instagram,DNBZnekMHNM,❤️,Fan support,8.32,78.88,12.8,Assess Scofieldd’s fitness and adjust training accordingly.,
instagram,DNCqQKfsIqT,❤️❤️❤️,Fan support,8.48,83.05,8.48,Create content celebrating PSV’s fan base.,
instagram,DNCqQKfsIqT,👏👏👏,Fan enthusiasm,8.45,83.09,8.45,Schedule more open training events for fan interaction.,
instagram,DNCqQKfsIqT,Announce Man,Request training session,12.3,13.19,74.51,Investigate strategies to address the Ajax rivalry.,
instagram,DNCqQKfsIqT,"The bookies get fraustrated when i post games up for sale, 😂😂 they know it’s always a win no doubts 💯💰💰",Betting market criticism,14.69,47.26,38.05,Boost social media engagement with fan-generated content.,
instagram,DM-6eL-CHR9,🔥🔥🔥🔥🔥🔥,Fan enthusiasm,8.48,83.05,8.48,Show appreciation for Luuk Hostkamp through dedicated campaigns.,
instagram,DM-6eL-CHR9,Bedankt voor alles luuk 🔥🔥🔥🔴⚪💡🐐,Luuk Hostkamp appreciation,8.52,82.47,9.0,Organize fan-focused events to boost support.,
instagram,DM-6eL-CHR9,❤️🤍🖤,Fan support,8.44,81.3,10.25,Highlight iconic PSV moments in marketing materials.,
instagram,DM-6eL-CHR9,👏👏👏🔥,Fan enthusiasm,8.44,83.12,8.44,Plan fan interaction opportunities through events.,
instagram,DM-6eL-CHR9,Icon❤️,Icon appreciation,8.52,82.96,8.52,Develop content celebrating goal celebrations.,
instagram,DM-6eL-CHR9,❤️🙌🏻,Fan support,8.45,83.11,8.45,Expand autograph session requests to accommodate demand.,
instagram,DM-6eL-CHR9,Held!,Goal celebration,8.21,76.94,14.85,Generate content reflecting fan enthusiasm.,
instagram,DM-6eL-CHR9,Announce Man. ❤️,Request training session,7.59,53.2,39.21,Plan fan interactions with players.,
instagram,DM-6eL-CHR9,👏👏,Fan enthusiasm,8.46,83.08,8.46,Create celebratory content relating to fan excitement.,
instagram,DNBCGVUMhIl,Oh ja graag 🔥,Fan enthusiasm,8.52,82.31,9.17,Explore options for fan-requested autograph sessions.,
instagram,DNBCGVUMhIl,🔥🙌🙌🙌,Fan enthusiasm,8.43,83.15,8.43,Develop content emphasizing fan support.,
instagram,DNBCGVUMhIl,Mag ik alsjeblieft?,Request autograph session,8.38,13.83,77.79,UNKNOWN,
instagram,DNBCGVUMhIl,Jaaaaaaaaa natuurlijk ❤️🤍,Fan enthusiasm,8.47,83.06,8.47,UNKNOWN,
instagram,DNBCGVUMhIl,❤️❤️❤️ graaaaag,Fan request: Open training,7.9,69.2,22.89,→ Schedule an open training session for fans to connect with the team.,
instagram,DNBCGVUMhIl,Omg dat wil ik,Fan request: Interaction,7.73,38.9,53.37,→ Create interactive polls and Q&A sessions on social media.,
instagram,DNBCGVUMhIl,STOP MET SLAPEN EN HAAL ITAKURA 😮‍💨,"Player mention: Itakura, Bologna match",37.3,10.72,51.99,→ Incorporate Itakura’s performance into upcoming match analyses.,
instagram,DNBCGVUMhIl,❤️ fotogeniek hoor pap,Compliment: Vaná,8.51,82.99,8.51,→ Highlight Vaná's aesthetic qualities in promotional materials.,
instagram,DNBPy8JsoC9,🔥🔥🔥🔴⚪💡,Fan enthusiasm,8.48,83.04,8.48,"→ Generate high-energy, positive content to amplify fan excitement.",
instagram,DNBPy8JsoC9,Gefeliciteerd Jerdy🙌🏻,"Player mention: De Jong, Bologna match",8.42,81.04,10.53,→ Analyze De Jong’s contribution in post-match reports.,
instagram,DNBPy8JsoC9,Gefeliciteerd Jerdy! Will never be forgotten in Bologna ❤️💙,"Player mention: De Jong, Bologna match",8.45,83.1,8.45,→ Expand on De Jong's impact with video highlights.,
instagram,DNBPy8JsoC9,Lets gooo!,Fan enthusiasm,8.45,83.1,8.45,→ Develop more enthusiastic social media campaigns.,
instagram,DNBPy8JsoC9,😍😍😍,Fan enthusiasm,8.42,83.16,8.42,→ Increase the frequency of positive fan engagement activities.,
instagram,DNBPy8JsoC9,Gefeliciteerd Jerdy! 🙌💙,"Player mention: De Jong, Bologna match",8.48,83.04,8.48,→ Boost team morale with supportive messages.,
instagram,DNBPy8JsoC9,Welkom jerdy fijn dat je blijft !😄,Player welcome: Jerdy,8.27,77.98,13.75,→ Reinforce Jerdy’s commitment through public acknowledgement.,
instagram,DNBPy8JsoC9,🔥🔥🔥🔥🔥,Fan enthusiasm,8.47,83.05,8.47,→  Elevate Jerdy’s role within team communications.,
instagram,DNBPy8JsoC9,❤️❤️❤️❤️🙌🙌,Fan enthusiasm,8.41,83.18,8.41,→  Maintain consistent positive fan engagement strategies.,
instagram,DNBPy8JsoC9,❤️,Fan enthusiasm,8.47,83.07,8.47,→  Promote fan enthusiasm through celebratory graphics.,
instagram,DM-PoKGsYSt,Haal nou maar 3 spelers meer....,Player request: New signings,8.26,15.44,76.29,→  Increase fan participation through interactive games.,
instagram,DM-PoKGsYSt,@c.lamine11,Player mention: Lamine,8.41,11.79,79.8,→  Acknowledge fan perspectives on player performance.,
instagram,DM-PoKGsYSt,👏👏👏👏,Fan enthusiasm,8.45,83.1,8.45,→  Directly address player criticism with detailed evaluations.,
instagram,DM-PoKGsYSt,"3-1 winst, Denk ik",Match result: 3-1,8.09,18.66,73.25,→  Respond to fan feedback regarding desired transfers.,
instagram,DM-PoKGsYSt,Pffff bruma😔,Player criticism: Bruma,76.65,8.22,15.13,→  Monitor and address fan concerns about specific players.,
instagram,DM-PoKGsYSt,Kut Rotterdammers gewoon 6-0 oprollen.,Negative sentiment: Rotterdam match,47.75,7.59,44.66,UNKNOWN,
instagram,DM-PoKGsYSt,🔥,Mauro JR appreciation,8.36,79.67,11.96,Prioritize content creation highlighting Piroe’s potential.,
instagram,DM-PoKGsYSt,🔥🔥🔥,Mauro JR appreciation,8.47,81.63,9.9,Increase fan engagement with Luuk de Jong’s contributions.,
instagram,DM738mJsTRY,"Bedankt voor alles luuk je bent en blijft een legende voor ons PSV hopelijk kom je ooit nog terug in een andere functie binnen de club, hopelijk krijg je een standbeeld. Luuk de legend 🐐💡",Luuk de Jong legacy request,7.64,45.37,46.99,Develop fan content celebrating Mauro JR’s impact.,
instagram,DM738mJsTRY,Someone can translate ?,Translation request,10.85,9.96,79.19,Explore opportunities to translate key content for a global audience.,
instagram,DM738mJsTRY,❤️❤️❤️,Mauro JR appreciation,8.49,83.02,8.49,Investigate options for translating fan-generated content.,
instagram,DM738mJsTRY,nitip sendal ja🐯,Unrelated comment (sendal),22.33,8.07,69.6,Create social media posts acknowledging fan color preferences.,
instagram,DM738mJsTRY,dennis man 🙌,Dennis Undav appreciation,8.49,81.87,9.64,Analyze and highlight Mauro JR’s involvement in key plays.,
instagram,DM738mJsTRY,💙❤️,Colors preference,8.32,78.75,12.93,Amplify positive fan sentiment across all platforms.,
instagram,DM738mJsTRY,"Misschien hebben jullie wel gemerkt dat Mauro JR geen goal of assist heeft tegen go ahead, maar bij de eigen goal van Nauber gaf Perisic de voorzet. Die voorzet was aan de linkerkant en wie staat daar?? Mauro!! Dus door dat Mauro en Perisic van kan ruilde kon Perisic de voorzet geven. Zo zie je maar dat Mauro de beste is. ⭐️🇧🇷1️⃣7️⃣🔛🔝",Mauro JR goal/assist analysis,7.64,41.65,50.7,Generate content celebrating Dennis Undav’s goal-scoring ability.,
instagram,DM738mJsTRY,,Unrelated comment,37.35,7.66,55.0,Address fan questions and concerns promptly and transparently.,
instagram,DM-MJwWstwh,Kom op he🔥,Mauro JR support,7.69,59.98,32.33,Boost fan enthusiasm through targeted social media campaigns.,
instagram,DM-MJwWstwh,👍🥰,Positive sentiment,8.44,83.12,8.44,Recognize and appreciate individual player admiration.,
instagram,DM-MJwWstwh,🔥🔥🔥🙌,Mauro JR appreciation,8.48,83.04,8.48,Produce content celebrating positive fan reactions.,
instagram,DM-MJwWstwh,Mauro Jr is echt Geen dag ouder geworden 😂😂😂,Mauro JR age joke,27.85,18.63,53.53,Generate content showcasing Mauro JR’s age and experience.,
instagram,DM-MJwWstwh,"Aah, toen Mauro jr nog echt jr was. En dat jonge bekkie van Obispo 😍",Obispo admiration,8.44,81.18,10.37,Create posts featuring fan reactions to Obispo’s performance.,
instagram,DM-MJwWstwh,Lonwijk was zo goed,Lonwijk praise,7.65,56.88,35.47,Highlight Lonwijk’s past contributions and potential.,
